㭱,xia
㭲,ji
㭴,jian
㭸,tu
㭹,xian
㭺,an
㭺,yan
㭻,tang
㭼,ta
㭽,di
㭾,jue
㭿,ang
㮀,han
㮁,xiao
㮂,ju
㮃,rui
㮃,wei
㮄,bang
㮅,zhui
㮆,nie
㮇,tian
㮈,nai
㮋,you
㮌,mian
㮏,na
㮏,nai
㮏,ni
㮐,sheng
㮐,si
㮑,cha
㮑,qi
㮒,yan
㮒,yin
㮓,gen
㮔,chong
㮔,tong
㮕,ruan
㮖,jia
㮗,qin
㮘,mao
㮙,e
㮚,li
㮛,chi
㮛,yi
㮜,zang
㮝,he
㮞,jie
㮟,ka
㮟,nian
㮡,guan
㮢,hou
㮣,gai
㮥,ben
㮥,fan
㮦,se
㮦,suo
㮧,wen
㮧,wu
㮨,ji
㮩,xi
㮪,qiong
㮫,he
㮫,qia
㮫,xia
㮬,weng
㮭,xian
㮮,jie
㮯,hua
㮯,hun
㮰,pi
㮱,shen
㮲,chou
㮳,zhen
㮵,zhan
㮶,shuo
㮷,ji
㮸,song
㮹,zhi
㮺,ben
㮾,lang
㮿,bi
㯀,xuan
㯁,pei
㯂,dai
㯄,zhi
㯅,bi
㯅,pi
㯆,chan
㯆,shan
㯇,bi
㯈,su
㯉,huo
㯊,hen
㯋,jiong
㯋,ying
㯌,chuan
㯍,jiang
㯎,nen
㯏,gu
㯐,fang
㯓,da
㯓,ta
㯔,cui
㯕,xi
㯖,de
㯗,xian
㯘,kuan
㯙,zhe
㯚,ta
㯛,hu
㯜,cui
㯝,lu
㯞,juan
㯟,lu
㯠,qian
㯡,pao
㯢,zhen
㯤,li
㯥,cao
㯥,zao
㯦,qi
㯩,ti
㯪,ling
㯫,qu
㯬,lian
㯭,lu
㯮,shu
㯯,dan
㯯,gong
㯯,ju
㯰,zhe
